,cust_id,recency,frequency,monetary,basket_size,r,f,m,grade,rfm,score,level
0,12346.0,332,17,-64.68,-3.8,2,4,1,d,241,7,silver
1,12347.0,9,8,5633.32,704.16,4,3,4,a,434,11,platinum
2,12348.0,82,5,2019.4,403.88,3,3,3,a,333,9,gold
3,12349.0,25,5,4404.54,880.91,4,3,4,a,434,11,platinum
4,12350.0,317,1,334.4,334.4,2,1,2,b,212,5,bronze
5,12351.0,382,1,300.93,300.93,2,1,1,b,211,4,bronze
6,12352.0,43,13,1889.21,145.32,3,4,3,d,343,10,gold
7,12353.0,211,2,406.76,203.38,2,1,2,c,212,5,bronze
8,12354.0,239,1,1079.4,1079.4,2,1,3,a,213,6,silver
9,12355.0,221,2,947.61,473.8,2,1,3,a,213,6,silver
10,12356.0,29,6,6373.68,1062.28,4,3,4,a,434,11,platinum
11,12357.0,40,3,18287.66,6095.89,3,2,4,a,324,9,gold
12,12358.0,8,5,3887.07,777.41,4,3,4,a,434,11,platinum
13,12359.0,14,14,8714.89,622.49,4,4,4,a,444,12,platinum
14,12360.0,59,9,4212.89,468.1,3,4,4,a,344,11,platinum
15,12361.0,294,4,511.25,127.81,2,2,2,d,222,6,silver
16,12362.0,10,14,5284.58,377.47,4,4,4,a,444,12,platinum
17,12363.0,116,2,552.0,276.0,2,1,2,b,212,5,bronze
18,12364.0,14,4,1313.1,328.28,4,2,3,b,423,9,gold
19,12365.0,298,3,320.69,106.9,2,2,1,d,221,5,bronze
20,12366.0,640,1,500.24,500.24,1,1,2,a,112,4,bronze
21,12367.0,11,1,168.9,168.9,4,1,1,c,411,6,silver
22,12368.0,635,1,917.7,917.7,1,1,3,a,113,5,bronze
23,12369.0,420,3,1791.15,597.05,1,2,3,a,123,6,silver
24,12370.0,58,7,4320.31,617.19,3,3,4,a,334,10,gold
25,12371.0,51,5,4067.38,813.48,3,3,4,a,334,10,gold
26,12372.0,78,3,1298.04,432.68,3,2,3,a,323,8,gold
27,12373.0,318,3,1127.65,375.88,2,2,3,a,223,7,silver
28,12374.0,32,4,2989.22,747.31,3,2,4,a,324,9,gold
29,12375.0,9,3,455.42,151.81,4,2,2,c,422,8,gold
30,12376.0,396,2,503.15,251.58,1,1,2,b,112,4,bronze
31,12377.0,322,4,3426.32,856.58,2,2,4,a,224,8,gold
32,12378.0,136,2,5416.32,2708.16,2,1,4,a,214,7,silver
33,12379.0,88,5,1618.27,323.65,3,3,3,b,333,9,gold
34,12380.0,28,15,7888.0,525.87,4,4,4,a,444,12,platinum
35,12381.0,11,6,1803.96,300.66,4,3,3,b,433,10,gold
36,12382.0,689,1,-18.38,-18.38,1,1,1,d,111,3,bronze
37,12383.0,191,6,1839.31,306.55,2,3,3,b,233,8,gold
38,12384.0,35,3,566.16,188.72,3,2,2,c,322,7,silver
39,12385.0,386,2,1923.4,961.7,2,1,3,a,213,6,silver
40,12386.0,344,2,660.8,330.4,2,1,2,b,212,5,bronze
41,12387.0,422,1,143.94,143.94,1,1,1,d,111,3,bronze
42,12388.0,22,8,3901.11,487.64,4,3,4,a,434,11,platinum
43,12389.0,409,3,1433.33,477.78,1,2,3,a,123,6,silver
44,12390.0,86,1,549.84,549.84,3,1,2,a,312,6,silver
45,12391.0,28,7,2747.82,392.55,4,3,4,a,434,11,platinum
46,12392.0,598,1,234.75,234.75,1,1,1,b,111,3,bronze
47,12393.0,79,7,2376.75,339.54,3,3,4,b,334,10,gold
48,12394.0,70,2,1272.48,636.24,3,1,3,a,313,7,silver
49,12395.0,22,18,5046.92,280.38,4,4,4,b,444,12,platinum
50,12396.0,681,1,931.43,931.43,1,1,3,a,113,5,bronze
51,12397.0,42,2,2409.9,1204.95,3,1,4,a,314,8,gold
52,12398.0,52,1,1635.66,1635.66,3,1,3,a,313,7,silver
53,12399.0,126,7,1962.3,280.33,2,3,3,b,233,8,gold
54,12400.0,421,1,205.25,205.25,1,1,1,c,111,3,bronze
55,12401.0,310,1,84.3,84.3,2,1,1,d,211,4,bronze
56,12402.0,330,7,1244.15,177.74,2,3,3,c,233,8,gold
57,12403.0,56,3,1001.36,333.79,3,2,3,b,323,8,gold
58,12404.0,689,1,63.24,63.24,1,1,1,d,111,3,bronze
59,12405.0,155,1,1710.39,1710.39,2,1,3,a,213,6,silver
60,12406.0,29,7,6072.21,867.46,4,3,4,a,434,11,platinum
61,12407.0,56,5,1708.12,341.62,3,3,3,b,333,9,gold
62,12408.0,39,14,4279.64,305.69,3,4,4,b,344,11,platinum
63,12409.0,85,13,23090.47,1776.19,3,4,4,a,344,11,platinum
64,12410.0,308,4,1001.46,250.36,2,2,3,b,223,7,silver
65,12411.0,416,1,346.9,346.9,1,1,2,b,112,4,bronze
66,12412.0,81,8,2581.03,322.63,3,3,4,b,334,10,gold
67,12413.0,73,6,935.5,155.92,3,3,3,c,333,9,gold
68,12414.0,224,8,692.41,86.55,2,3,2,d,232,7,silver
69,12415.0,31,33,143269.29,4341.49,4,4,4,a,444,12,platinum
70,12416.0,663,1,202.56,202.56,1,1,1,c,111,3,bronze
71,12417.0,10,27,6708.21,248.45,4,4,4,b,444,12,platinum
72,12418.0,119,5,2016.95,403.39,2,3,3,a,233,8,gold
73,12419.0,392,2,503.01,251.5,1,1,2,b,112,4,bronze
74,12420.0,70,1,600.39,600.39,3,1,2,a,312,6,silver
75,12421.0,22,8,1092.83,136.6,4,3,3,d,433,10,gold
76,12422.0,102,21,4119.35,196.16,3,4,4,c,344,11,platinum
77,12423.0,7,11,2612.19,237.47,4,4,4,b,444,12,platinum
78,12424.0,169,7,3289.78,469.97,2,3,4,a,234,9,gold
79,12425.0,85,3,1680.81,560.27,3,2,3,a,323,8,gold
80,12426.0,201,3,1311.41,437.14,2,2,3,a,223,7,silver
81,12427.0,18,5,1011.87,202.37,4,3,3,c,433,10,gold
82,12428.0,32,12,7877.2,656.43,3,4,4,a,344,11,platinum
83,12429.0,16,9,7435.51,826.17,4,4,4,a,444,12,platinum
84,12430.0,50,1,256.4,256.4,3,1,1,b,311,5,bronze
85,12431.0,42,33,10719.41,324.83,3,4,4,b,344,11,platinum
86,12432.0,49,5,5059.32,1011.86,3,3,4,a,334,10,gold
87,12433.0,7,11,20428.86,1857.17,4,4,4,a,444,12,platinum
88,12434.0,91,5,1062.48,212.5,3,3,3,c,333,9,gold
89,12435.0,86,6,13925.93,2320.99,3,3,4,a,334,10,gold
